INFO  2023-12-20 14:38:56,184  The url https://www.hdfcfund.com/insights/md-ceo-desk completed
INFO  2023-12-20 14:38:56,184  
INFO  2023-12-20 14:38:56,206  The url : https://www.hdfcfund.com/information/forms-circulars-physical-shareholders started....
INFO  2023-12-20 14:38:57,203  Browser listening on: ws://127.0.0.1:57514/devtools/browser/41996611-2ef6-4f45-ad08-3b299c3f60b7
INFO  2023-12-20 14:39:01,346  Title       : Forms & Circulars for Physical Shareholders
INFO  2023-12-20 14:39:01,346  Description : Forms & Circulars for Physical Shareholders
INFO  2023-12-20 14:39:01,346  Category    : 
INFO  2023-12-20 14:39:01,346  Subcategory : 
INFO  2023-12-20 14:39:01,361  The url https://www.hdfcfund.com/information/forms-circulars-physical-shareholders completed
INFO  2023-12-20 14:39:01,361  
INFO  2023-12-20 14:39:01,393  The url : https://www.hdfcfund.com/learners-corner/beginner started....
INFO  2023-12-20 14:39:02,443  Browser listening on: ws://127.0.0.1:57555/devtools/browser/662d97c2-e006-4261-88b2-32dab2e34b1e
INFO  2023-12-20 14:39:05,230  Title       : Beginner
INFO  2023-12-20 14:39:05,230  Description : 
INFO  2023-12-20 14:39:05,230  Category    : 
INFO  2023-12-20 14:39:05,230  Subcategory : 
INFO  2023-12-20 14:39:05,249  The url https://www.hdfcfund.com/learners-corner/beginner completed
INFO  2023-12-20 14:39:05,249  
INFO  2023-12-20 14:39:05,274  The url : https://www.hdfcfund.com/insights/monthly-musings started....
INFO  2023-12-20 14:39:07,679  Browser listening on: ws://127.0.0.1:57599/devtools/browser/5388d756-5e3a-47ac-95e0-5215abd74a5f
INFO  2023-12-20 14:39:11,446  Title       : Monthly Musings
INFO  2023-12-20 14:39:11,446  Description : 
INFO  2023-12-20 14:39:11,446  Category    : 
INFO  2023-12-20 14:39:11,446  Subcategory : 
INFO  2023-12-20 14:39:11,462  The url https://www.hdfcfund.com/insights/monthly-musings completed
INFO  2023-12-20 14:39:11,462  
INFO  2023-12-20 14:39:11,477  The url : https://www.hdfcfund.com/product-solutions/equity-linked-savings-scheme-elss started....
INFO  2023-12-20 14:39:12,578  Browser listening on: ws://127.0.0.1:57641/devtools/browser/374869e3-7a0f-48e0-a5bb-96d55e156722
INFO  2023-12-20 14:39:16,690  Title       : Types of Mutual Fund Schemes in India - HDFC Mutual Fund
INFO  2023-12-20 14:39:16,690  Description : Know the different types of HDFC mutual funds offered by HDFC Mutual Funds and choose the right one as per your investment goals like equity, debt, hybrid mutual funds.

